i	j	k	Dose      LDT       LTT       proton_1_Dproton_1_T
209	0	0	111.409   2.10462   2.10289   2.10462   2.10289   
210	0	0	112.912   2.11804   2.11691   2.11804   2.11691   
211	0	0	112.461   2.13212   2.13125   2.13212   2.13125   
212	0	0	115.961   2.14737   2.146     2.14737   2.146     
213	0	0	115.019   2.16266   2.16109   2.16266   2.16109   
214	0	0	115.204   2.17803   2.17633   2.17803   2.17633   
215	0	0	116.58    2.19335   2.1919    2.19335   2.1919    
216	0	0	116.888   2.20922   2.20793   2.20922   2.20793   
217	0	0	117.307   2.2258    2.22428   2.2258    2.22428   
218	0	0	120.078   2.24213   2.24113   2.24213   2.24113   
219	0	0	120.412   2.26034   2.25849   2.26034   2.25849   
220	0	0	120.89    2.27825   2.27624   2.27825   2.27624   
221	0	0	122.008   2.2964    2.29441   2.2964    2.29441   
222	0	0	123.776   2.31493   2.31314   2.31493   2.31314   
223	0	0	124.837   2.33459   2.33244   2.33459   2.33244   
224	0	0	125.312   2.35462   2.35223   2.35462   2.35223   
225	0	0	126.614   2.37557   2.37255   2.37557   2.37255   
226	0	0	127.935   2.3956    2.39349   2.3956    2.39349   
227	0	0	129.678   2.41727   2.41509   2.41727   2.41509   
228	0	0	128.519   2.43996   2.4372    2.43996   2.4372    
229	0	0	130.865   2.46171   2.45986   2.46171   2.45986   
230	0	0	131.662   2.48636   2.48328   2.48636   2.48328   
231	0	0	133.873   2.50964   2.50739   2.50964   2.50739   
232	0	0	136.402   2.53564   2.53263   2.53564   2.53263   
233	0	0	135.728   2.56187   2.55864   2.56187   2.55864   
234	0	0	137.417   2.5885    2.58536   2.5885    2.58536   
235	0	0	138.6     2.61643   2.613     2.61643   2.613     
236	0	0	140.307   2.6448    2.64161   2.6448    2.64161   
237	0	0	141.081   2.67546   2.67124   2.67546   2.67124   
238	0	0	144.28    2.70614   2.70199   2.70614   2.70199   
239	0	0	145.122   2.73865   2.73398   2.73865   2.73398   
240	0	0	147.862   2.77239   2.76726   2.77239   2.76726   
241	0	0	150.163   2.8082    2.80207   2.8082    2.80207   
242	0	0	151.18    2.84441   2.8383    2.84441   2.8383    
243	0	0	153.27    2.88246   2.87597   2.88246   2.87597   
244	0	0	154.929   2.92198   2.91529   2.92198   2.91529   
245	0	0	156.939   2.96317   2.9564    2.96317   2.9564    
246	0	0	159.104   3.00581   2.9994    3.00581   2.9994    
247	0	0	162.304   3.05261   3.0446    3.05261   3.0446    
248	0	0	164.158   3.10072   3.09214   3.10072   3.09214   
249	0	0	167.692   3.15236   3.14223   3.15236   3.14223   
250	0	0	168.648   3.20543   3.19494   3.20543   3.19494   
251	0	0	173.162   3.26278   3.25061   3.26278   3.25061   
252	0	0	177.146   3.32274   3.31002   3.32274   3.31002   
253	0	0	180.352   3.38966   3.37331   3.38966   3.37331   
254	0	0	183.769   3.45496   3.44065   3.45496   3.44065   
255	0	0	187.297   3.53229   3.51254   3.53229   3.51254   
256	0	0	190.305   3.61201   3.58944   3.61201   3.58944   
257	0	0	195.637   3.69579   3.67211   3.69579   3.67211   
258	0	0	200.033   3.78978   3.76159   3.78978   3.76159   
259	0	0	204.931   3.88962   3.85859   3.88962   3.85859   
260	0	0	211.132   4.00078   3.96454   4.00078   3.96454   
261	0	0	217.876   4.12575   4.08135   4.12575   4.08135   
262	0	0	224.49    4.26349   4.21083   4.26349   4.21083   
263	0	0	231.578   4.4212    4.35527   4.4212    4.35527   
264	0	0	240.193   4.5997    4.51865   4.5997    4.51865   
265	0	0	251.088   4.81039   4.70628   4.81039   4.70628   
266	0	0	263.503   5.07897   4.92771   5.07897   4.92771   
267	0	0	277.148   5.425     5.19887   5.425     5.19887   
268	0	0	297.892   6.28769   5.58806   6.28769   5.58806   
269	0	0	315.127   7.02102   5.98045   7.02102   5.98045   
270	0	0	335.104   7.62889   6.39995   7.62889   6.39995   
271	0	0	364.581   8.94435   7.07549   8.94435   7.07549   
272	0	0	389.581   10.5324   7.81521   10.5324   7.81521   
