i	j	k	Dose(Gy)       
101	5	4	4.2888e-08     
101	5	5	4.2353e-08     
102	4	4	4.34004e-08    
102	4	5	4.52056e-08    
102	5	4	4.29828e-08    
102	5	5	4.31218e-08    
103	4	4	4.46578e-08    
103	4	5	4.47964e-08    
103	5	4	4.35469e-08    
103	5	5	4.3364e-08     
104	4	4	4.43443e-08    
104	4	5	4.58233e-08    
104	5	4	4.37074e-08    
104	5	5	4.30046e-08    
105	4	4	4.53785e-08    
105	4	5	4.67834e-08    
105	5	4	4.38463e-08    
105	5	5	4.39319e-08    
106	4	4	4.57148e-08    
106	4	5	4.68635e-08    
106	5	4	4.44041e-08    
106	5	5	4.48019e-08    
107	4	4	4.63274e-08    
107	4	5	4.75383e-08    
107	5	4	4.46134e-08    
107	5	5	4.45561e-08    
108	4	4	4.65157e-08    
108	4	5	4.82366e-08    
108	5	4	4.50942e-08    
108	5	5	4.43162e-08    
109	4	4	4.71007e-08    
109	4	5	4.84494e-08    
109	5	4	4.56121e-08    
109	5	5	4.49714e-08    
110	4	4	4.73055e-08    
110	4	5	4.9304e-08     
110	5	4	4.62562e-08    
110	5	5	4.53383e-08    
111	4	4	4.7382e-08     
111	4	5	5.02866e-08    
111	5	4	4.62291e-08    
111	5	5	4.57692e-08    
112	4	4	4.83434e-08    
112	4	5	5.15151e-08    
112	5	4	4.65279e-08    
112	5	5	4.64089e-08    
113	4	4	4.80397e-08    
113	4	5	5.19031e-08    
113	5	4	4.73101e-08    
113	5	5	4.70851e-08    
114	4	4	4.79468e-08    
114	4	5	5.21967e-08    
114	5	4	4.82993e-08    
114	5	5	4.75564e-08    
115	4	4	4.85685e-08    
115	4	5	5.27225e-08    
115	5	4	4.8615e-08     
115	5	5	4.78972e-08    
116	4	4	4.92571e-08    
116	4	5	5.27511e-08    
116	5	4	4.96711e-08    
116	5	5	4.8846e-08     
117	4	4	4.9884e-08     
117	4	5	5.4119e-08     
117	5	4	4.97999e-08    
117	5	5	5.01272e-08    
118	4	4	5.08115e-08    
118	4	5	5.40137e-08    
118	5	4	5.10417e-08    
118	5	5	4.99976e-08    
119	4	4	5.13121e-08    
119	4	5	5.49078e-08    
119	5	4	5.14246e-08    
119	5	5	5.03798e-08    
120	4	4	5.18286e-08    
120	4	5	5.67774e-08    
120	5	4	5.27445e-08    
120	5	5	5.17411e-08    
121	4	4	5.25984e-08    
121	4	5	5.58172e-08    
121	5	4	5.3282e-08     
121	5	5	5.232e-08      
122	4	4	5.35322e-08    
122	4	5	5.78686e-08    
122	5	4	5.43142e-08    
122	5	5	5.27988e-08    
123	4	4	5.35036e-08    
123	4	5	5.85046e-08    
123	5	4	5.55825e-08    
123	5	5	5.33471e-08    
124	4	4	5.38936e-08    
124	4	5	5.94648e-08    
124	5	4	5.56941e-08    
124	5	5	5.31436e-08    
125	4	4	5.52313e-08    
125	4	5	6.06647e-08    
125	5	4	5.62825e-08    
125	5	5	5.45425e-08    
126	4	4	5.61033e-08    
126	4	5	6.19923e-08    
126	5	4	5.82902e-08    
126	5	5	5.47372e-08    
127	4	4	5.71086e-08    
127	4	5	6.26278e-08    
127	5	4	5.91006e-08    
127	5	5	5.59866e-08    
128	4	4	5.83495e-08    
128	4	5	6.42733e-08    
128	5	4	6.01208e-08    
128	5	5	5.62494e-08    
129	4	4	5.96213e-08    
129	4	5	6.49413e-08    
129	5	4	6.11761e-08    
129	5	5	5.74002e-08    
130	4	4	5.99382e-08    
130	4	5	6.6182e-08     
130	5	4	6.20555e-08    
130	5	5	5.85998e-08    
131	4	4	6.09543e-08    
131	4	5	6.82829e-08    
131	5	4	6.38649e-08    
131	5	5	5.90665e-08    
132	4	4	6.21872e-08    
132	4	5	6.90429e-08    
132	5	4	6.55974e-08    
132	5	5	6.08238e-08    
133	4	4	6.30461e-08    
133	4	5	7.06585e-08    
133	5	4	6.72616e-08    
133	5	5	6.10824e-08    
134	4	4	6.51482e-08    
134	4	5	7.2199e-08     
134	5	4	6.83126e-08    
134	5	5	6.33701e-08    
135	4	4	6.65975e-08    
135	4	5	7.42318e-08    
135	5	4	7.02428e-08    
135	5	5	6.45835e-08    
136	4	4	6.86868e-08    
136	4	5	7.53348e-08    
136	5	4	7.22556e-08    
136	5	5	6.65346e-08    
137	4	4	7.07989e-08    
137	4	5	7.70023e-08    
137	5	4	7.37733e-08    
137	5	5	6.75824e-08    
138	4	4	7.23579e-08    
138	4	5	7.91951e-08    
138	5	4	7.60944e-08    
138	5	5	6.96796e-08    
139	4	4	7.5519e-08     
139	4	5	8.09629e-08    
139	5	4	7.79518e-08    
139	5	5	7.23902e-08    
140	4	4	7.78447e-08    
140	4	5	8.40897e-08    
140	5	4	8.03918e-08    
140	5	5	7.49898e-08    
141	4	4	8.03058e-08    
141	4	5	8.65425e-08    
141	5	4	8.3267e-08     
141	5	5	7.73728e-08    
142	4	4	8.37925e-08    
142	4	5	8.98911e-08    
142	5	4	8.67163e-08    
142	5	5	8.07234e-08    
143	4	4	8.78436e-08    
143	4	5	9.36407e-08    
143	5	4	8.93256e-08    
143	5	5	8.4569e-08     
144	4	4	9.25546e-08    
144	4	5	9.75279e-08    
144	5	4	9.33695e-08    
144	5	5	8.87401e-08    
145	4	4	9.66928e-08    
145	4	5	1.028e-07      
145	5	4	9.86523e-08    
145	5	5	9.32025e-08    
146	4	4	1.02516e-07    
146	4	5	1.09585e-07    
146	5	4	1.04979e-07    
146	5	5	9.94891e-08    
147	4	4	1.09014e-07    
147	4	5	1.17901e-07    
147	5	4	1.11826e-07    
147	5	5	1.06116e-07    
148	4	4	1.18689e-07    
148	4	5	1.27836e-07    
148	5	4	1.22879e-07    
148	5	5	1.14793e-07    
149	4	4	1.31104e-07    
149	4	5	1.43352e-07    
149	5	4	1.34831e-07    
149	5	5	1.25879e-07    
150	4	4	1.48519e-07    
150	4	5	1.62988e-07    
150	5	4	1.52283e-07    
150	5	5	1.4103e-07     
151	4	4	1.79582e-07    
151	4	5	1.83643e-07    
151	5	4	1.65616e-07    
151	5	5	1.62865e-07    
152	4	4	1.84181e-07    
152	4	5	2.00339e-07    
152	5	4	1.86084e-07    
152	5	5	1.74906e-07    
153	4	4	1.64439e-07    
153	4	5	1.96227e-07    
153	5	4	1.89748e-07    
153	5	5	1.66414e-07    
154	4	4	1.42719e-07    
154	4	5	1.54493e-07    
154	5	4	1.61187e-07    
154	5	5	1.33432e-07    
155	4	4	1.02962e-07    
155	4	5	1.18965e-07    
155	5	4	1.17148e-07    
155	5	5	8.53562e-08    
156	4	4	4.34543e-08    
156	4	5	5.42478e-08    
156	5	4	5.55355e-08    
156	5	5	5.26947e-08    
157	4	4	1.14718e-08    
157	4	5	1.06606e-08    
157	5	4	1.99496e-08    
157	5	5	2.06187e-08    
158	4	4	2.53731e-09    
158	4	5	5.01791e-09    
158	5	4	2.78897e-09    
158	5	5	5.91038e-09    
284	4	4	2.4976e-12     
323	4	4	3.13544e-12    
325	3	4	1.00778e-12    
386	4	3	1.91893e-12    
414	4	3	8.71334e-13    
444	4	3	6.57374e-13    
450	4	3	1.43193e-11    
1351	3	5	3.94028e-12    
1601	6	5	3.86589e-12    
1631	4	6	1.67486e-12    
1676	4	5	2.53658e-12    
1751	4	6	2.50018e-12    
1802	4	6	4.78055e-13    
1814	4	6	1.64818e-11    
