i	j	k	Dose(Gy)       proton_1       proton_1       proton         proton         O16            O16            
241	0	0	6.42956e-09    5.68068e-09    18             7.4888e-10     1              0              0              
242	0	0	6.37709e-09    5.54536e-09    18             8.31738e-10    1              0              0              
243	0	0	6.55354e-09    5.68428e-09    18             8.69265e-10    1              0              0              
244	0	0	6.83252e-09    5.79464e-09    18             1.03788e-09    1              0              0              
245	0	0	7.47298e-09    6.1865e-09     18             1.28648e-09    1              0              0              
246	0	0	8.59794e-09    6.06336e-09    18             2.53457e-09    1              0              0              
247	0	0	6.21898e-09    6.21898e-09    18             0              0              0              0              
248	0	0	6.10396e-09    6.10396e-09    18             0              0              0              0              
249	0	0	6.3692e-09     6.3692e-09     18             0              0              0              0              
250	0	0	6.48139e-09    6.48139e-09    18             0              0              0              0              
251	0	0	6.71407e-09    6.71407e-09    18             0              0              0              0              
252	0	0	6.79231e-09    6.79231e-09    18             0              0              0              0              
253	0	0	6.92441e-09    6.92441e-09    18             0              0              0              0              
254	0	0	7.48916e-09    7.48916e-09    18             0              0              0              0              
255	0	0	7.83789e-09    7.83789e-09    18             0              0              0              0              
256	0	0	8.06485e-09    8.06485e-09    18             0              0              0              0              
257	0	0	9.36416e-09    9.36416e-09    18             0              0              0              0              
258	0	0	7.87655e-09    7.87655e-09    18             0              0              0              0              
259	0	0	7.76833e-09    7.76833e-09    17             0              0              0              0              
260	0	0	8.01576e-09    8.01576e-09    17             0              0              0              0              
261	0	0	8.25502e-09    8.25502e-09    17             0              0              0              0              
262	0	0	8.75858e-09    8.75858e-09    17             0              0              0              0              
263	0	0	9.21694e-09    9.21694e-09    17             0              0              0              0              
264	0	0	9.87272e-09    9.87272e-09    17             0              0              0              0              
265	0	0	1.05135e-08    1.05135e-08    17             0              0              0              0              
266	0	0	1.16324e-08    1.16324e-08    17             0              0              0              0              
267	0	0	1.31906e-08    1.31906e-08    17             0              0              0              0              
268	0	0	1.43306e-08    1.43306e-08    17             0              0              0              0              
269	0	0	1.6522e-08     1.6522e-08     16             0              0              0              0              
270	0	0	1.43646e-08    1.43646e-08    15             0              0              0              0              
271	0	0	1.1846e-08     1.1846e-08     11             0              0              0              0              
272	0	0	1.21597e-08    1.21597e-08    10             0              0              0              0              
273	0	0	7.1608e-09     7.1608e-09     6              0              0              0              0              
274	0	0	4.90304e-09    4.90304e-09    5              0              0              0              0              
275	0	0	6.17341e-09    6.17341e-09    4              0              0              0              0              
276	0	0	3.41888e-09    3.41888e-09    2              0              0              0              0              
277	0	0	1.73653e-09    1.73653e-09    1              0              0              0              0              
