i	j	k	LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          
202	0	0	3.17782        2.40142        3.17782        2.40142        0              0              0              0              
203	0	0	3.74829        2.49043        3.74829        2.49043        0              0              0              0              
204	0	0	5.1858         2.68244        5.1858         2.68244        0              0              0              0              
205	0	0	11.2556        3.00187        11.2556        3.00187        0              0              0              0              
206	0	0	2.14322        2.14104        2.14322        2.14104        0              0              0              0              
207	0	0	2.15708        2.15605        2.15708        2.15605        0              0              0              0              
208	0	0	2.17296        2.17154        2.17296        2.17154        0              0              0              0              
209	0	0	2.18867        2.1869         2.18867        2.1869         0              0              0              0              
210	0	0	2.20344        2.20263        2.20344        2.20263        0              0              0              0              
211	0	0	2.22043        2.21901        2.22043        2.21901        0              0              0              0              
212	0	0	2.23767        2.23592        2.23767        2.23592        0              0              0              0              
213	0	0	2.25619        2.2535         2.25619        2.2535         0              0              0              0              
214	0	0	2.27328        2.2719         2.27328        2.2719         0              0              0              0              
215	0	0	2.28882        2.29076        2.28882        2.29076        0              0              0              0              
216	0	0	2.31444        2.30934        2.31444        2.30934        0              0              0              0              
217	0	0	2.32952        2.32866        2.32952        2.32866        0              0              0              0              
218	0	0	2.35104        2.34889        2.35104        2.34889        0              0              0              0              
219	0	0	2.37146        2.36896        2.37146        2.36896        0              0              0              0              
220	0	0	2.3947         2.38947        2.3947         2.38947        0              0              0              0              
221	0	0	2.41289        2.41082        2.41289        2.41082        0              0              0              0              
222	0	0	2.43776        2.4334         2.43776        2.4334         0              0              0              0              
223	0	0	2.45975        2.45691        2.45975        2.45691        0              0              0              0              
224	0	0	2.48832        2.48099        2.48832        2.48099        0              0              0              0              
225	0	0	2.50743        2.50629        2.50743        2.50629        0              0              0              0              
226	0	0	2.53556        2.53243        2.53556        2.53243        0              0              0              0              
227	0	0	2.56029        2.55867        2.56029        2.55867        0              0              0              0              
228	0	0	2.5906         2.5854         2.5906         2.5854         0              0              0              0              
229	0	0	2.61811        2.61321        2.61811        2.61321        0              0              0              0              
230	0	0	2.64954        2.64209        2.64954        2.64209        0              0              0              0              
231	0	0	2.67999        2.67253        2.67999        2.67253        0              0              0              0              
232	0	0	2.70903        2.70429        2.70903        2.70429        0              0              0              0              
233	0	0	3.19086        2.94387        3.16733        2.92163        4.08024        4.08024        0              0              
234	0	0	4.35488        3.39557        4.36856        3.34997        4.18176        4.18176        0              0              
235	0	0	10.636         4.27798        11.0253        4.27363        4.35288        4.35288        0              0              
236	0	0	2.99483        2.93504        2.83846        2.83227        4.53449        4.53449        0              0              
237	0	0	3.06955        2.98443        2.88258        2.87043        4.74654        4.74654        0              0              
238	0	0	3.13632        3.03788        2.92728        2.91102        4.99913        4.99913        0              0              
239	0	0	3.19687        3.09446        2.96115        2.95299        5.28591        5.28591        0              0              
240	0	0	3.29855        3.1577         3.01105        2.99685        5.63726        5.63726        0              0              
241	0	0	3.40701        3.22809        3.05297        3.04384        6.09255        6.09272        0              0              
242	0	0	3.58315        3.30984        3.11464        3.0928         6.70681        6.69029        0              0              
243	0	0	3.7482         3.40789        3.16803        3.14429        7.54204        7.53202        0              0              
244	0	0	4.07866        3.5346         3.23189        3.19905        8.80632        8.79533        0              0              
245	0	0	4.65661        3.73221        3.28952        3.25847        11.2307        11.1562        0              0              
246	0	0	10.9191        4.48086        3.34405        3.32156        29.0406        23.0612        0              0              
247	0	0	3.41906        3.38805        3.41906        3.38805        0              0              0              0              
248	0	0	3.48829        3.45883        3.48829        3.45883        0              0              0              0              
249	0	0	3.58279        3.53434        3.58279        3.53434        0              0              0              0              
250	0	0	3.68201        3.61653        3.68201        3.61653        0              0              0              0              
251	0	0	3.77974        3.70849        3.77974        3.70849        0              0              0              0              
252	0	0	3.92681        3.80945        3.92681        3.80945        0              0              0              0              
253	0	0	4.0654         3.92243        4.0654         3.92243        0              0              0              0              
254	0	0	4.29473        4.05825        4.29473        4.05825        0              0              0              0              
255	0	0	4.56053        4.23296        4.56053        4.23296        0              0              0              0              
256	0	0	5.09499        4.47108        5.09499        4.47108        0              0              0              0              
257	0	0	8.09842        5.11378        8.09842        5.11378        0              0              0              0              
258	0	0	7.71386        4.63111        7.71386        4.63111        0              0              0              0              
259	0	0	4.50209        4.46434        4.50209        4.46434        0              0              0              0              
260	0	0	4.68163        4.63945        4.68163        4.63945        0              0              0              0              
261	0	0	4.89346        4.83792        4.89346        4.83792        0              0              0              0              
262	0	0	5.14765        5.06911        5.14765        5.06911        0              0              0              0              
263	0	0	5.43326        5.34332        5.43326        5.34332        0              0              0              0              
264	0	0	5.82536        5.68006        5.82536        5.68006        0              0              0              0              
265	0	0	6.3126         6.10777        6.3126         6.10777        0              0              0              0              
266	0	0	7.05471        6.69453        7.05471        6.69453        0              0              0              0              
267	0	0	8.84621        7.70474        8.84621        7.70474        0              0              0              0              
268	0	0	11.3944        8.73621        11.3944        8.73621        0              0              0              0              
269	0	0	14.9988        10.6754        14.9988        10.6754        0              0              0              0              
270	0	0	18.3042        11.449         18.3042        11.449         0              0              0              0              
271	0	0	15.0945        11.4711        15.0945        11.4711        0              0              0              0              
272	0	0	23.3629        14.8752        23.3629        14.8752        0              0              0              0              
273	0	0	18.2464        12.8705        18.2464        12.8705        0              0              0              0              
274	0	0	16.3203        12.177         16.3203        12.177         0              0              0              0              
275	0	0	24.9168        18.3039        24.9168        18.3039        0              0              0              0              
276	0	0	24.8705        19.3896        24.8705        19.3896        0              0              0              0              
277	0	0	34.1083        29.5671        34.1083        29.5671        0              0              0              0              
278	0	0	0              0              0              0              0              0              0              0              
279	0	0	0              0              0              0              0              0              0              0              
280	0	0	0              0              0              0              0              0              0              0              
281	0	0	0              0              0              0              0              0              0              0              
282	0	0	0              0              0              0              0              0              0              0              
283	0	0	0              0              0              0              0              0              0              0              
284	0	0	0              0              0              0              0              0              0              0              
285	0	0	0              0              0              0              0              0              0              0              
286	0	0	0              0              0              0              0              0              0              0              
287	0	0	0              0              0              0              0              0              0              0              
288	0	0	0              0              0              0              0              0              0              0              
289	0	0	0              0              0              0              0              0              0              0              
290	0	0	0              0              0              0              0              0              0              0              
291	0	0	0              0              0              0              0              0              0              0              
292	0	0	0              0              0              0              0              0              0              0              
293	0	0	0              0              0              0              0              0              0              0              
294	0	0	0              0              0              0              0              0              0              0              
295	0	0	0              0              0              0              0              0              0              0              
296	0	0	0              0              0              0              0              0              0              0              
297	0	0	0              0              0              0              0              0              0              0              
298	0	0	0              0              0              0              0              0              0              0              
299	0	0	0              0              0              0              0              0              0              0              
300	0	0	0              0              0              0              0              0              0              0              
301	0	0	0              0              0              0              0              0              0              0              
302	0	0	0              0              0              0              0              0              0              0              
303	0	0	0              0              0              0              0              0              0              0              
304	0	0	0              0              0              0              0              0              0              0              
305	0	0	0              0              0              0              0              0              0              0              
306	0	0	0              0              0              0              0              0              0              0              
307	0	0	0              0              0              0              0              0              0              0              
308	0	0	0              0              0              0              0              0              0              0              
309	0	0	0              0              0              0              0              0              0              0              
310	0	0	0              0              0              0              0              0              0              0              
311	0	0	0              0              0              0              0              0              0              0              
312	0	0	0              0              0              0              0              0              0              0              
313	0	0	0              0              0              0              0              0              0              0              
314	0	0	0              0              0              0              0              0              0              0              
315	0	0	0              0              0              0              0              0              0              0              
316	0	0	0              0              0              0              0              0              0              0              
317	0	0	0              0              0              0              0              0              0              0              
318	0	0	0              0              0              0              0              0              0              0              
319	0	0	0              0              0              0              0              0              0              0              
320	0	0	0              0              0              0              0              0              0              0              
321	0	0	0              0              0              0              0              0              0              0              
322	0	0	0              0              0              0              0              0              0              0              
323	0	0	0              0              0              0              0              0              0              0              
324	0	0	0              0              0              0              0              0              0              0              
325	0	0	0              0              0              0              0              0              0              0              
326	0	0	0              0              0              0              0              0              0              0              
327	0	0	0              0              0              0              0              0              0              0              
328	0	0	0              0              0              0              0              0              0              0              
329	0	0	0              0              0              0              0              0              0              0              
330	0	0	0              0              0              0              0              0              0              0              
331	0	0	0              0              0              0              0              0              0              0              
332	0	0	0              0              0              0              0              0              0              0              
333	0	0	0              0              0              0              0              0              0              0              
334	0	0	0              0              0              0              0              0              0              0              
335	0	0	0              0              0              0              0              0              0              0              
336	0	0	0              0              0              0              0              0              0              0              
337	0	0	0              0              0              0              0              0              0              0              
338	0	0	0              0              0              0              0              0              0              0              
339	0	0	0              0              0              0              0              0              0              0              
340	0	0	0              0              0              0              0              0              0              0              
341	0	0	0              0              0              0              0              0              0              0              
342	0	0	0              0              0              0              0              0              0              0              
343	0	0	0              0              0              0              0              0              0              0              
344	0	0	0              0              0              0              0              0              0              0              
345	0	0	0              0              0              0              0              0              0              0              
346	0	0	0              0              0              0              0              0              0              0              
347	0	0	0              0              0              0              0              0              0              0              
348	0	0	0              0              0              0              0              0              0              0              
349	0	0	0              0              0              0              0              0              0              0              
350	0	0	0              0              0              0              0              0              0              0              
351	0	0	0              0              0              0              0              0              0              0              
352	0	0	0              0              0              0              0              0              0              0              
353	0	0	0              0              0              0              0              0              0              0              
354	0	0	0              0              0              0              0              0              0              0              
355	0	0	0              0              0              0              0              0              0              0              
356	0	0	0              0              0              0              0              0              0              0              
357	0	0	0              0              0              0              0              0              0              0              
358	0	0	0              0              0              0              0              0              0              0              
359	0	0	0              0              0              0              0              0              0              0              
360	0	0	0              0              0              0              0              0              0              0              
361	0	0	0              0              0              0              0              0              0              0              
362	0	0	0              0              0              0              0              0              0              0              
363	0	0	0              0              0              0              0              0              0              0              
364	0	0	0              0              0              0              0              0              0              0              
365	0	0	0              0              0              0              0              0              0              0              
366	0	0	0              0              0              0              0              0              0              0              
367	0	0	0              0              0              0              0              0              0              0              
368	0	0	0              0              0              0              0              0              0              0              
369	0	0	0              0              0              0              0              0              0              0              
370	0	0	0              0              0              0              0              0              0              0              
371	0	0	0              0              0              0              0              0              0              0              
372	0	0	0              0              0              0              0              0              0              0              
373	0	0	0              0              0              0              0              0              0              0              
374	0	0	0              0              0              0              0              0              0              0              
375	0	0	0              0              0              0              0              0              0              0              
376	0	0	0              0              0              0              0              0              0              0              
377	0	0	0              0              0              0              0              0              0              0              
378	0	0	0              0              0              0              0              0              0              0              
379	0	0	0              0              0              0              0              0              0              0              
380	0	0	0              0              0              0              0              0              0              0              
381	0	0	0              0              0              0              0              0              0              0              
382	0	0	0              0              0              0              0              0              0              0              
383	0	0	0              0              0              0              0              0              0              0              
384	0	0	0              0              0              0              0              0              0              0              
385	0	0	0              0              0              0              0              0              0              0              
386	0	0	0              0              0              0              0              0              0              0              
387	0	0	0              0              0              0              0              0              0              0              
388	0	0	0              0              0              0              0              0              0              0              
389	0	0	0              0              0              0              0              0              0              0              
390	0	0	0              0              0              0              0              0              0              0              
391	0	0	0              0              0              0              0              0              0              0              
392	0	0	0              0              0              0              0              0              0              0              
393	0	0	0              0              0              0              0              0              0              0              
394	0	0	0              0              0              0              0              0              0              0              
395	0	0	0              0              0              0              0              0              0              0              
396	0	0	0              0              0              0              0              0              0              0              
397	0	0	0              0              0              0              0              0              0              0              
398	0	0	0              0              0              0              0              0              0              0              
399	0	0	0              0              0              0              0              0              0              0              
