i	j	k	Dose           LDT            LTT            proton_1_D     proton_1_T     proton_D       proton_T       O16_D          O16_T          O18_D          O18_T          
122	0	0	207791         1.03849        1.03685        1.03849        1.03685        0              0              0              0              0              0              
123	0	0	213385         1.06711        1.06509        1.06711        1.06509        0              0              0              0              0              0              
124	0	0	219598         1.09819        1.09616        1.09819        1.09616        0              0              0              0              0              0              
125	0	0	226614         1.13302        1.13057        1.13302        1.13057        0              0              0              0              0              0              
126	0	0	234272         1.17199        1.16896        1.17199        1.16896        0              0              0              0              0              0              
127	0	0	242968         1.21788        1.21218        1.216          1.21217        0              0              461.121        384.126        0              0              
128	0	0	252834         1.26818        1.26139        1.26645        1.26138        0              0              459.436        459.436        0              0              
129	0	0	264320         1.32514        1.31809        1.32514        1.31809        0              0              0              0              0              0              
130	0	0	277656         1.39586        1.38457        1.39346        1.38456        0              0              532.361        430.257        0              0              
131	0	0	293595         1.47725        1.46426        1.47725        1.46426        0              0              0              0              0              0              
132	0	0	313500         1.58496        1.56287        1.58496        1.56287        0              0              0              0              0              0              
133	0	0	339119         1.734          1.69018        1.73191        1.69017        0              0              543.882        401.474        0              0              
134	0	0	374586         1.9863         1.86793        1.98193        1.86792        0              0              493.853        427.483        0              0              
135	0	0	426068         2.47972        2.13569        2.47831        2.13568        2.63237        2.623          510.66         385.935        0              0              
136	0	0	498720         3.46506        2.56119        3.46505        2.56118        3.64047        3.5998         0              0              0              0              
137	0	0	571163         4.99395        3.18849        4.99382        3.18846        12.7712        8.34539        0              0              0              0              
138	0	0	578918         6.82155        3.99992        6.82084        3.99991        0              0              444.351        373.505        0              0              
139	0	0	459992         8.62464        4.9042         8.62464        4.9042         0              0              0              0              0              0              
140	0	0	263481         10.3036        5.85403        10.3019        5.85401        0              0              458.231        383.264        0              0              
141	0	0	99672.3        11.7871        6.76626        11.7871        6.76626        0              0              0              0              0              0              
142	0	0	23964.5        13.0545        7.65841        13.0545        7.65841        0              0              0              0              0              0              
143	0	0	3396.64        14.5628        8.661          14.5628        8.661          0              0              0              0              0              0              
144	0	0	259.435        15.342         9.30361        15.342         9.30361        0              0              0              0              0              0              
145	0	0	12.2349        15.8594        9.52407        15.8594        9.52407        0              0              0              0              0              0              
146	0	0	0              0              0              0              0              0              0              0              0              0              0              
147	0	0	0              0              0              0              0              0              0              0              0              0              0              
148	0	0	0              0              0              0              0              0              0              0              0              0              0              
149	0	0	0              0              0              0              0              0              0              0              0              0              0              
150	0	0	0              0              0              0              0              0              0              0              0              0              0              
151	0	0	0              0              0              0              0              0              0              0              0              0              0              
152	0	0	0              0              0              0              0              0              0              0              0              0              0              
153	0	0	0              0              0              0              0              0              0              0              0              0              0              
154	0	0	0              0              0              0              0              0              0              0              0              0              0              
155	0	0	0              0              0              0              0              0              0              0              0              0              0              
156	0	0	0              0              0              0              0              0              0              0              0              0              0              
157	0	0	0              0              0              0              0              0              0              0              0              0              0              
158	0	0	0              0              0              0              0              0              0              0              0              0              0              
159	0	0	0              0              0              0              0              0              0              0              0              0              0              
160	0	0	0              0              0              0              0              0              0              0              0              0              0              
161	0	0	0              0              0              0              0              0              0              0              0              0              0              
162	0	0	0              0              0              0              0              0              0              0              0              0              0              
163	0	0	0              0              0              0              0              0              0              0              0              0              0              
164	0	0	0              0              0              0              0              0              0              0              0              0              0              
165	0	0	0              0              0              0              0              0              0              0              0              0              0              
166	0	0	0              0              0              0              0              0              0              0              0              0              0              
167	0	0	0              0              0              0              0              0              0              0              0              0              0              
168	0	0	0              0              0              0              0              0              0              0              0              0              0              
169	0	0	0              0              0              0              0              0              0              0              0              0              0              
170	0	0	0              0              0              0              0              0              0              0              0              0              0              
171	0	0	0              0              0              0              0              0              0              0              0              0              0              
172	0	0	0              0              0              0              0              0              0              0              0              0              0              
173	0	0	0              0              0              0              0              0              0              0              0              0              0              
174	0	0	0              0              0              0              0              0              0              0              0              0              0              
175	0	0	0              0              0              0              0              0              0              0              0              0              0              
176	0	0	0              0              0              0              0              0              0              0              0              0              0              
177	0	0	0              0              0              0              0              0              0              0              0              0              0              
178	0	0	0              0              0              0              0              0              0              0              0              0              0              
179	0	0	0              0              0              0              0              0              0              0              0              0              0              
180	0	0	0              0              0              0              0              0              0              0              0              0              0              
181	0	0	0              0              0              0              0              0              0              0              0              0              0              
182	0	0	0              0              0              0              0              0              0              0              0              0              0              
